"job_id","company_name","job_title","job_schedule_type","salary_year_avg","skills"
356750,"Verisk","Senior Research Engineer  I ( Hydrology / Hydraulics)","Full-time","177283.0","sql"
356750,"Verisk","Senior Research Engineer  I ( Hydrology / Hydraulics)","Full-time","177283.0","python"
356750,"Verisk","Senior Research Engineer  I ( Hydrology / Hydraulics)","Full-time","177283.0","r"
781346,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","gdpr"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","sql"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","python"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","scala"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","go"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","mongodb"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","no-sql"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","neo4j"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","mongodb"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","azure"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","databricks"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","aws"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","oracle"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","spark"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","hadoop"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","gdpr"
406320,"Eagle Genomics Ltd","Data Architect","Full-time","163782.0","power bi"
1240284,"Dun & Bradstreet","Data Scientist/Specialist, Data Science - (R-13694)","Full-time","157500.0","go"
806925,"DAZN","Data Scientist","Full-time","157500.0","sql"
806925,"DAZN","Data Scientist","Full-time","157500.0","python"
806925,"DAZN","Data Scientist","Full-time","157500.0","java"
806925,"DAZN","Data Scientist","Full-time","157500.0","r"
806925,"DAZN","Data Scientist","Full-time","157500.0","excel"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","sql"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","python"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","scala"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","r"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","sas"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","matlab"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","perl"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","haskell"
1432554,"Quantium","IND (New) Data Scientist, Data Management","Full-time","157500.0","sas"
294929,"Syngenta Group","Data Scientist","Full-time","157500.0","python"
294929,"Syngenta Group","Data Scientist","Full-time","157500.0","r"
902996,"ServiceNow","Sr Research Scientist/Engineer","Full-time","149653.0","pytorch"
1208757,"ServiceNow","Sr Applied Research Scientist","Full-time","149637.5","python"
1208757,"ServiceNow","Sr Applied Research Scientist","Full-time","149637.5","tensorflow"
